connection_initiator,connection,date_conection,messages_exchanged
797,342,2020-10-06,13130
260,68,2020-01-11,66782
670,384,2020-09-07,61521
29,750,2020-12-24,57633
665,907,2019-12-20,90845
824,415,2020-01-20,16308
954,939,2021-02-05,7114
730,3,2019-05-10,39562
633,146,2020-08-24,25362
827,569,2020-02-10,99876
527,545,2020-06-01,70840
787,736,2020-02-11,68527
362,462,2019-06-23,2619
758,34,2019-06-29,13240
33,540,2019-11-09,5077
708,689,2020-02-21,52179
768,222,2020-01-03,25435
229,297,2019-06-21,42826
831,873,2020-05-21,43941
595,211,2021-01-31,38363
437,413,2020-12-20,60495
455,711,2019-09-26,16432
974,822,2020-10-01,17708
747,77,2020-03-15,86088
914,462,2019-05-16,24545
603,514,2021-02-12,15774
651,744,2019-12-01,92588
203,59,2019-11-13,84791
537,975,2019-06-08,72749
251,67,2020-06-20,82103
463,915,2019-11-22,73654
932,469,2020-10-05,53714
468,817,2020-02-20,68231
24,851,2020-06-21,29736
127,159,2020-03-26,68573
609,629,2020-09-25,88155
220,328,2019-03-31,94062
953,860,2019-07-19,51366
646,76,2020-12-30,77034
927,794,2019-09-06,90682
137,553,2019-07-05,96596
353,898,2020-09-01,6081
710,541,2020-05-16,35597
34,52,2019-10-28,44359
890,578,2019-10-05,47910
560,251,2019-12-10,60152
434,81,2020-06-24,46803
469,931,2019-03-22,66877
548,671,2019-10-02,80324
190,899,2020-04-21,67848
239,933,2020-01-18,84139
523,108,2019-03-17,9641
305,929,2020-07-31,51430
820,293,2020-01-02,89737
640,864,2019-09-14,89629
673,8,2019-12-06,68430
138,259,2020-09-05,90151
892,776,2019-07-29,71913
831,73,2019-11-14,44985
844,858,2019-06-02,87894
362,194,2019-05-31,24104
206,585,2019-05-14,41641
337,293,2020-06-08,92151
434,960,2019-11-22,36005
559,86,2019-06-26,64143
166,187,2019-03-14,5689
644,718,2020-01-18,72447
701,113,2020-05-10,51866
782,579,2019-12-24,25916
482,825,2020-02-13,84020
943,996,2019-04-18,77260
407,469,2020-06-30,25777
596,153,2020-08-23,61727
224,131,2020-08-20,12708
186,198,2020-07-30,4464
754,236,2019-04-19,66070
872,376,2020-10-14,23689
32,46,2020-01-14,4533
783,994,2020-04-16,61768
49,236,2020-09-04,27516
413,593,2020-04-23,17666
786,176,2019-06-05,14491
196,617,2019-06-29,54858
520,772,2019-06-16,71351
815,492,2019-07-29,47629
469,730,2019-06-25,41019
289,772,2019-08-14,11842
893,901,2019-03-13,15085
127,7,2020-04-01,99477
380,544,2019-06-03,25797
181,616,2020-11-15,86396
509,705,2020-03-06,23486
117,487,2019-11-22,99805
815,301,2021-01-16,68147
974,204,2021-01-02,22702
317,283,2020-06-16,44262
792,898,2020-09-11,76349
360,425,2019-09-29,5423
787,4,2020-08-27,72549
547,115,2020-10-26,48876
609,539,2019-11-05,41436
131,874,2020-08-02,37230
146,196,2019-05-21,25741
309,572,2020-11-02,86611
857,222,2021-01-28,91060
841,955,2020-12-12,34556
442,973,2020-11-29,26482
976,292,2020-01-01,64766
534,507,2020-10-10,97870
597,496,2020-12-19,25116
778,856,2019-09-09,49613
943,58,2021-01-16,52464
897,943,2019-06-20,72412
283,284,2019-11-11,56287
629,399,2020-06-19,92636
64,276,2020-03-13,5820
505,712,2019-11-02,98123
588,155,2020-04-07,51264
608,309,2020-08-10,7149
770,154,2019-06-10,3831
742,481,2021-01-26,41383
623,815,2019-12-07,85008
261,682,2020-09-14,20612
666,912,2020-09-17,71853
565,682,2020-04-24,93933
313,596,2019-10-13,33179
443,713,2019-08-19,444
551,264,2021-01-01,42544
942,223,2021-01-28,87350
931,520,2019-12-09,70160
319,117,2019-11-14,33161
712,535,2019-12-18,40722
800,120,2020-02-19,41068
528,210,2020-03-21,45764
213,167,2019-10-13,24045
304,199,2020-01-02,61201
258,871,2019-12-30,93493
847,848,2020-11-10,52244
988,964,2019-05-04,18467
997,548,2020-08-01,30573
560,46,2019-06-17,28511
520,688,2019-06-12,2340
555,555,2019-02-21,5468
512,731,2020-05-16,56556
943,56,2020-05-25,83870
786,718,2020-06-24,41855
800,203,2020-08-18,1706
651,139,2021-02-13,96998
615,812,2021-01-02,30664
519,937,2020-03-25,96092
40,202,2019-05-11,4724
40,326,2020-08-12,84614
758,39,2020-10-15,47972
172,110,2020-07-04,27582
358,180,2020-08-13,42130
703,889,2019-07-27,99049
572,894,2020-05-25,30490
793,74,2020-07-02,15344
766,951,2020-05-31,60269
796,334,2020-03-22,13158
957,564,2019-05-15,5737
418,624,2019-09-13,47998
1000,984,2020-08-05,42410
68,584,2020-09-08,61063
696,403,2020-06-09,88175
681,102,2019-06-28,38587
387,406,2019-12-06,34869
906,839,2019-04-25,45629
599,932,2020-10-26,24922
518,151,2019-03-17,73182
186,781,2019-02-26,79957
838,716,2019-05-18,58016
179,187,2021-01-11,50475
601,615,2019-11-26,26377
745,644,2020-11-13,68269
606,597,2020-09-01,98510
440,5,2020-02-26,59972
102,184,2019-10-23,55066
833,852,2019-05-12,40067
362,428,2020-07-27,34214
142,421,2020-02-04,50900
541,302,2019-12-01,63804
450,213,2020-05-16,12979
532,167,2020-08-12,70242
470,880,2019-09-03,29524
219,501,2020-07-19,19387
940,108,2020-03-01,66519
583,744,2020-11-09,97996
470,16,2020-10-12,12162
222,864,2019-08-14,62248
792,974,2021-02-03,95307
956,285,2019-06-21,6625
217,209,2020-04-29,20610
112,962,2020-04-21,8355
349,667,2020-11-21,87313
652,188,2021-01-12,27228
884,678,2019-04-19,30580
359,827,2020-10-16,95786
769,104,2020-12-14,89944
495,644,2020-03-18,77885
735,516,2021-02-02,34373
80,821,2021-01-06,98104
904,634,2019-06-28,21490
204,616,2019-03-10,86076
738,189,2020-11-21,37080
192,753,2020-07-01,66337
776,416,2020-12-08,28491
519,308,2019-06-27,90626
995,313,2020-12-31,48000
218,336,2020-03-25,6300
655,858,2020-01-01,44656
324,255,2020-06-04,99863
19,64,2020-07-15,53968
126,964,2019-07-29,98355
60,454,2020-01-24,25715
213,162,2020-08-21,90676
550,931,2020-08-02,32844
9,445,2019-12-29,62314
547,581,2019-09-11,59003
969,940,2019-03-06,63587
648,15,2020-05-19,72255
630,754,2019-06-02,12672
253,794,2021-02-01,46161
951,824,2019-12-16,55126
466,503,2019-07-01,29457
735,751,2021-01-05,31054
6,199,2020-01-26,62039
704,426,2020-05-01,3067
766,409,2019-03-31,60054
769,479,2021-01-29,65989
363,501,2019-12-06,74969
149,848,2021-02-08,50297
261,426,2020-11-02,12380
415,482,2019-04-26,15817
880,124,2020-07-02,10825
466,743,2020-05-19,75755
213,176,2019-12-29,4351
469,526,2019-11-04,39774
778,165,2019-08-18,98907
134,22,2020-03-17,6578
863,499,2020-12-27,73434
943,761,2020-02-06,50124
2,400,2019-03-20,79321
507,13,2020-02-25,33911
851,795,2020-06-13,75206
587,121,2019-05-08,42188
516,867,2019-09-14,35403
307,186,2020-11-26,37295
137,856,2020-03-18,26945
523,58,2020-03-04,1634
702,769,2020-04-20,84218
250,926,2020-07-02,65687
182,702,2019-12-21,11733
582,866,2020-02-20,68302
438,302,2019-09-12,73561
935,848,2019-07-08,92082
297,454,2019-08-15,24801
310,517,2020-04-13,33284
673,497,2019-11-27,11485
970,286,2019-06-21,54042
955,310,2019-10-10,24289
647,904,2020-12-10,67930
276,313,2020-06-04,78123
290,305,2020-11-24,9074
493,450,2021-01-30,24210
791,335,2019-06-09,49023
90,147,2020-02-07,73596
199,85,2019-04-12,2033
900,882,2019-04-12,4532
306,354,2020-02-24,74702
643,272,2019-12-20,5698
486,481,2020-05-02,64750
499,365,2020-01-02,20996
909,382,2020-04-24,52648
96,180,2019-04-30,31571
993,943,2019-09-12,93006
56,789,2020-02-27,98904
677,682,2019-08-15,68049
298,884,2020-11-11,42266
890,543,2019-05-15,70555
403,451,2019-10-06,11316
547,544,2019-06-07,13663
398,764,2019-11-24,50802
536,539,2020-11-09,88950
785,467,2019-05-02,41229
803,767,2019-06-05,67808
181,264,2020-07-13,26119
878,590,2020-12-20,60931
501,316,2019-04-03,54479
909,873,2020-11-18,42378
459,835,2020-07-18,82941
63,605,2019-06-04,96303
453,818,2020-05-18,10127
222,168,2020-04-26,44330
479,732,2019-07-22,59540
629,182,2019-02-23,83663
216,790,2019-03-15,18930
626,850,2020-12-18,77332
531,330,2019-12-29,91693
402,126,2020-04-26,35753
516,826,2020-08-14,80318
458,912,2020-09-26,13371
343,654,2020-05-30,5149
747,205,2020-03-04,78970
220,498,2020-08-25,99700
34,901,2020-08-07,74182
570,231,2019-05-12,90083
798,453,2021-02-10,99863
446,841,2020-02-20,54824
283,778,2020-04-27,55797
406,950,2019-11-14,32525
476,549,2020-12-28,43848
83,674,2020-10-15,11042
111,6,2019-11-11,1394
506,852,2020-12-26,72555
867,208,2019-05-04,54363
216,962,2020-08-03,41095
921,104,2019-02-21,57292
691,966,2019-08-24,8612
720,927,2019-08-13,71993
188,972,2020-03-10,8859
884,401,2020-11-30,56951
587,987,2019-10-17,80048
504,819,2019-09-19,97892
591,161,2019-08-11,42653
72,29,2019-02-24,39620
729,552,2020-03-08,15866
600,207,2019-11-20,77736
310,605,2020-03-19,50281
318,63,2021-02-06,26963
95,338,2019-11-09,51403
398,299,2019-04-30,92479
550,679,2019-04-19,96064
595,85,2019-10-12,39029
372,712,2020-05-08,59355
221,984,2020-01-12,82571
748,479,2019-08-12,8235
583,101,2020-09-13,75931
197,413,2019-11-30,44458
464,333,2019-12-11,69522
411,510,2020-12-17,86032
501,263,2020-09-28,12054
861,716,2019-06-10,48265
337,392,2019-08-16,66692
285,116,2019-09-29,94458
454,280,2021-02-13,39169
642,145,2019-07-22,39912
301,771,2020-09-16,40491
895,506,2020-10-12,15835
906,894,2020-02-26,80997
730,754,2020-07-14,60312
218,936,2021-01-01,33848
896,435,2020-10-17,68666
817,200,2019-11-23,22325
297,755,2019-09-25,87297
620,88,2019-12-13,32029
621,358,2020-06-07,68220
775,962,2019-05-29,47488
475,689,2020-11-24,44237
61,780,2020-10-14,16857
67,456,2019-05-21,54793
294,83,2019-12-26,64840
831,724,2019-11-20,66954
967,512,2020-03-12,29179
387,869,2020-12-23,67658
726,410,2020-02-18,99827
247,401,2019-08-14,14163
777,492,2020-07-11,12842
972,189,2020-08-21,83279
405,341,2019-12-05,33065
165,27,2020-06-23,43778
967,743,2021-01-29,63469
886,130,2019-11-23,63164
758,618,2020-01-19,35132
50,158,2019-09-21,73026
99,782,2019-11-24,92468
425,301,2019-12-26,43979
508,349,2020-10-05,87344
821,986,2020-10-05,9292
362,991,2020-08-25,59375
41,540,2019-09-25,55501
43,55,2020-12-22,66857
565,987,2019-05-10,93716
346,357,2020-02-25,46060
833,361,2021-01-19,2250
464,59,2019-10-02,28528
450,701,2019-05-22,17910
969,917,2020-01-30,92606
624,261,2019-06-17,63038
554,903,2019-11-12,18064
779,930,2021-02-11,57677
545,318,2019-08-26,21583
915,320,2020-09-17,98792
906,458,2019-07-13,2133
536,253,2021-02-09,32696
985,667,2019-11-07,88319
31,257,2020-03-11,96011
865,101,2019-08-14,80591
594,445,2019-05-14,40159
617,451,2020-07-31,67262
319,929,2019-12-13,33068
555,846,2019-12-16,6123
451,780,2020-02-14,36050
978,716,2020-03-22,41643
176,597,2020-02-11,26658
313,138,2021-02-13,27675
84,938,2020-05-02,12713
184,523,2020-11-22,29741
922,74,2020-06-12,52340
913,611,2019-08-08,34414
675,642,2020-07-26,87917
921,887,2019-12-25,22832
976,137,2020-03-14,22668
464,391,2019-10-17,22762
739,828,2020-03-02,59211
9,682,2019-08-17,63028
808,560,2019-10-20,57162
411,769,2020-03-26,97030
92,980,2020-08-02,71767
110,218,2019-02-19,30287
744,817,2019-04-30,9750
397,140,2020-02-19,8036
900,221,2019-10-22,74986
98,921,2019-12-21,66321
463,772,2021-01-10,32961
708,324,2019-08-13,44329
61,92,2020-11-16,73853
79,427,2020-01-19,42760
123,885,2019-03-27,27357
276,887,2020-05-09,11717
511,136,2020-10-09,96608
614,873,2019-03-21,703
746,580,2019-12-30,86301
540,621,2019-05-01,76488
908,891,2019-09-10,28520
676,23,2019-07-23,57332
590,986,2020-09-03,55879
431,750,2019-10-29,89364
714,771,2019-07-06,30608
792,501,2019-05-16,43419
303,563,2019-07-08,66918
20,694,2020-10-29,86492
493,788,2020-08-13,69125
104,738,2019-11-27,35801
683,447,2019-03-11,2692
104,907,2019-08-18,94879
926,772,2019-03-23,33228
65,691,2019-02-24,65647
962,81,2019-12-12,28679
48,33,2020-04-08,41478
463,865,2019-02-21,98090
927,938,2019-05-29,57148
706,120,2019-05-19,25153
570,6,2020-11-17,83317
641,46,2020-06-01,91258
72,403,2020-06-02,6142
137,623,2021-02-13,14348
260,613,2021-01-26,61445
564,528,2019-07-22,18409
333,476,2019-04-22,9232
959,247,2020-09-15,21655
427,732,2020-02-15,55377
111,329,2019-07-21,53016
865,574,2020-12-07,65858
790,494,2019-02-19,50925
733,898,2020-03-28,42911
521,251,2021-01-14,52797
374,622,2020-06-14,41898
801,784,2020-12-06,87275
928,764,2020-01-06,9582
331,117,2019-04-10,57181
499,639,2020-04-10,33444
375,194,2019-07-05,4103
588,443,2021-02-06,65147
930,786,2019-08-18,61302
32,704,2019-08-13,61874
976,392,2021-02-08,48756
574,777,2020-01-06,47375
254,14,2019-12-11,20707
947,756,2020-02-21,67675
799,667,2020-11-06,68575
522,73,2019-02-18,16542
448,486,2020-01-22,81189
297,696,2019-07-31,57671
238,930,2019-12-11,89716
560,944,2020-10-04,98665
437,236,2019-03-21,53670
978,107,2020-06-10,2907
37,300,2019-09-15,82998
315,79,2019-03-12,85409
106,321,2020-05-15,34506
124,818,2019-11-14,23361
56,216,2020-08-17,5375
260,149,2019-11-30,1420
155,136,2020-11-21,87764
320,38,2019-11-07,74638
841,177,2020-07-27,24154
358,425,2020-02-05,49683
921,158,2020-06-29,59168
791,437,2019-06-02,6779
892,992,2020-05-25,36731
901,695,2020-03-25,70812
102,632,2019-04-30,69868
160,149,2019-09-01,41322
33,166,2019-05-09,11311
595,184,2020-08-26,74627
355,753,2019-05-09,11389
280,348,2019-09-17,9462
530,734,2019-03-08,87277
641,423,2020-08-08,90651
526,546,2019-06-08,3702
78,844,2020-06-14,95740
873,246,2020-10-09,91857
294,76,2020-07-13,95849
897,300,2019-06-03,2971
245,207,2019-12-09,2723
499,40,2019-07-28,97448
442,692,2020-05-08,37400
885,657,2020-07-14,54920
550,259,2019-10-24,63132
894,484,2019-07-24,33943
559,393,2020-01-11,68723
649,244,2020-03-18,54645
303,880,2020-03-12,68420
120,967,2019-05-22,19928
351,677,2020-04-27,23173
65,702,2019-05-10,3477
749,792,2020-08-09,30074
742,447,2021-01-25,45897
534,619,2020-02-21,41102
565,252,2019-05-25,94524
966,846,2020-03-19,64793
178,775,2021-01-11,57940
355,277,2020-01-31,23105
910,910,2020-02-17,69321
933,559,2019-07-06,92869
952,49,2020-02-06,93230
302,15,2020-04-18,59046
345,934,2019-11-08,81462
345,185,2019-05-29,71427
999,905,2020-01-07,58800
270,233,2019-09-03,50756
583,402,2019-12-08,47786
130,21,2019-04-20,86437
466,596,2020-05-01,78966
561,952,2020-03-16,49414
548,579,2019-11-05,95687
452,707,2020-11-15,40128
368,859,2020-11-17,55100
390,286,2020-12-19,29946
348,86,2019-08-18,67938
901,85,2020-02-05,25573
754,284,2019-08-29,65877
26,863,2019-11-17,62038
858,590,2020-02-26,53415
124,545,2020-10-12,95916
341,942,2021-02-13,61752
57,209,2020-01-02,23896
920,671,2019-03-08,8737
885,102,2020-01-31,27035
510,415,2020-09-01,96553
265,623,2021-01-07,46439
218,929,2019-02-22,37296
128,54,2020-04-22,14969
757,873,2019-12-29,44788
323,816,2020-10-03,47801
601,515,2020-10-12,50884
569,556,2020-01-30,40490
607,515,2019-08-10,41081
214,794,2020-01-17,14322
456,966,2019-08-24,51510
645,297,2019-09-02,40061
738,718,2020-02-23,94128
544,629,2020-02-22,69598
541,256,2019-06-07,95158
697,281,2019-08-14,9676
243,743,2020-01-26,79854
700,292,2019-09-26,28480
259,586,2019-11-24,60452
110,396,2020-07-09,4769
940,143,2020-03-01,35676
406,709,2020-05-28,18170
189,970,2021-02-10,77040
499,453,2021-02-08,17527
3,247,2019-06-13,34564
930,179,2020-11-24,82432
896,86,2020-03-29,51961
57,451,2020-08-02,86604
896,939,2019-04-27,68431
537,301,2019-07-13,45190
873,573,2019-10-08,39770
290,405,2021-02-11,10034
37,978,2020-03-26,75351
550,534,2020-06-22,95329
140,513,2020-07-24,29633
277,723,2019-05-24,24381
557,999,2019-04-04,54761
723,12,2019-06-18,94669
619,480,2019-11-11,23008
419,888,2019-03-18,99655
957,780,2019-11-04,14113
794,722,2020-12-24,44493
547,325,2020-06-14,91304
274,722,2020-11-04,26952
827,529,2019-06-22,49853
610,105,2020-10-04,40682
480,883,2021-01-17,69673
224,622,2020-02-16,23209
927,292,2019-12-18,94971
1000,880,2020-07-28,20899
496,276,2019-07-13,78468
757,621,2020-01-03,31209
390,845,2020-03-09,93272
434,71,2019-07-17,75393
87,813,2019-06-28,73198
180,691,2019-12-18,21457
8,252,2019-03-26,61603
563,835,2020-10-21,76846
661,28,2020-11-01,6440
144,592,2020-10-09,80899
890,806,2019-11-08,3839
409,488,2021-01-07,22377
969,471,2020-09-30,33539
776,848,2020-07-31,32083
44,854,2020-11-23,11121
288,301,2020-03-28,5841
966,256,2019-07-13,32961
528,40,2020-09-02,7327
932,473,2019-10-30,60366
428,835,2019-07-10,62152
139,395,2020-03-27,28712
80,230,2021-02-03,43648
537,651,2020-04-14,38489
354,121,2020-08-24,28084
329,672,2020-12-10,66795
232,110,2020-05-24,52219
754,898,2020-05-15,30506
819,686,2020-01-21,14090
268,13,2019-06-16,14932
756,484,2020-06-24,19411
404,939,2020-08-05,21069
578,907,2020-06-11,60937
403,371,2020-03-07,3065
84,651,2021-01-16,97436
784,578,2020-07-17,35915
635,798,2020-05-06,88862
434,284,2021-02-08,58764
903,268,2019-08-02,59733
677,894,2020-05-27,80654
460,177,2020-01-26,47403
140,662,2019-03-15,291
69,602,2019-08-25,63911
260,260,2020-03-02,51050
524,996,2021-01-20,25692
275,580,2020-06-01,31200
30,387,2020-12-04,30537
178,185,2019-10-22,62260
358,274,2020-04-24,37461
922,245,2020-09-07,47983
791,705,2019-07-20,13148
513,301,2019-02-18,84143
667,424,2019-03-23,38134
403,653,2019-04-07,86197
967,561,2019-06-02,49742
907,970,2019-08-25,27263
348,168,2020-01-28,96102
468,744,2020-12-27,42244
209,386,2020-07-25,4778
262,223,2020-06-05,21765
606,362,2019-08-10,357
610,963,2020-07-15,31381
658,237,2020-08-02,29545
56,160,2019-05-13,8683
783,765,2020-12-18,9860
130,519,2020-09-28,26229
50,397,2020-03-24,40493
649,502,2020-01-14,28612
193,645,2021-02-05,93424
738,312,2020-07-03,2147
151,395,2020-06-24,44611
96,717,2019-09-28,67864
389,917,2021-01-05,36753
212,987,2020-08-01,97475
953,40,2019-11-07,87208
745,372,2020-03-07,72176
559,825,2020-08-03,86654
847,889,2019-07-17,67495
395,668,2019-06-24,77934
928,218,2019-12-04,18401
19,277,2020-04-25,26282
685,828,2020-12-03,181
493,436,2019-11-21,70858
406,56,2020-08-28,38369
98,649,2020-01-24,83677
372,24,2019-12-18,70195
89,179,2020-01-24,22695
377,464,2020-07-17,5086
964,13,2019-10-22,72794
131,548,2020-12-06,42718
822,358,2020-02-16,92260
908,442,2019-04-11,36707
671,848,2019-06-11,18534
177,98,2019-08-07,59696
194,784,2020-09-25,90236
497,520,2019-05-17,35513
941,59,2020-09-23,7800
326,664,2019-06-18,69227
449,704,2021-02-14,65600
566,879,2019-12-21,84652
174,380,2020-02-13,9788
706,242,2020-08-20,55777
510,125,2020-04-12,81174
291,539,2019-07-31,93097
803,332,2021-01-10,40876
458,65,2019-11-30,40898
924,270,2020-08-17,89642
446,546,2019-03-26,29962
129,213,2019-03-06,64349
869,310,2019-12-30,68328
388,740,2019-07-29,43086
373,870,2019-04-27,97869
605,232,2020-12-12,92657
194,856,2020-01-04,54266
372,516,2020-05-17,7117
149,979,2020-05-05,85885
859,498,2020-12-27,339
725,731,2020-10-24,93218
940,978,2020-01-03,79766
326,263,2020-04-13,55656
488,371,2019-07-31,4939
176,163,2020-06-23,60392
506,37,2019-02-21,60727
3,451,2020-07-21,10405
319,456,2019-06-03,9378
774,801,2020-04-05,62613
98,800,2020-07-01,5670
103,112,2021-01-22,30692
296,170,2020-03-04,44947
139,680,2019-10-15,13537
352,385,2019-12-10,5442
73,117,2020-04-15,10074
394,692,2020-04-10,5770
486,328,2019-04-10,91349
5,309,2019-04-19,3665
492,814,2020-06-01,65040
590,2,2020-09-07,28448
186,56,2020-03-06,84519
629,438,2020-09-24,48888
908,426,2019-03-01,18781
663,261,2019-07-26,64
302,351,2020-01-09,70440
870,87,2020-06-11,2895
145,185,2020-09-28,76445
380,448,2019-11-24,2877
963,152,2019-10-18,2267
196,805,2019-04-24,2353
934,679,2020-09-18,9214
829,96,2019-03-08,30099
267,969,2020-10-06,14430
541,501,2020-11-06,1809
266,872,2019-08-22,98814
634,966,2020-06-08,38360
381,789,2020-12-21,29389
325,186,2019-03-11,76076
41,679,2020-05-19,76648
617,425,2020-12-19,77478
71,966,2020-03-22,68435
453,293,2019-11-30,46208
449,848,2019-06-17,22733
650,923,2020-02-14,13444
753,278,2019-09-06,80550
690,734,2019-05-14,56296
731,626,2020-05-23,39897
601,50,2020-01-31,53581
1,545,2019-09-22,55413
667,119,2020-12-30,5777
375,291,2020-11-30,26081
905,986,2019-08-07,21911
357,336,2019-12-12,42228
756,418,2019-12-13,72078
238,548,2020-09-19,55622
367,435,2020-03-17,7681
161,580,2021-02-07,23717
594,967,2019-11-08,7191
897,329,2019-08-14,43109
1,157,2020-11-19,97604
709,38,2020-05-21,75305
888,736,2019-09-10,47558
723,310,2021-02-13,76424
267,141,2019-04-28,28628
509,747,2019-03-24,63328
742,522,2019-06-18,66351
481,171,2019-10-21,91703
155,368,2020-06-18,70949
68,157,2020-05-16,35893
148,210,2020-04-30,85249
656,399,2020-02-29,39341
331,393,2019-04-08,30017
678,906,2020-04-02,88825
963,392,2020-02-25,3180
460,344,2020-01-21,8363
965,782,2019-10-24,1762
554,705,2019-12-14,19839
812,310,2020-09-06,46831
592,630,2020-12-26,60695
459,43,2019-03-08,4474
532,460,2019-05-19,85477
213,334,2020-01-21,51079
652,862,2020-06-03,86777
180,561,2020-07-18,64072
464,56,2021-02-13,66
775,484,2019-06-01,14645
866,380,2020-10-01,74676
691,779,2019-06-08,17102
647,283,2021-01-05,61229
849,87,2019-03-14,41694
320,795,2019-05-21,83954
56,490,2020-08-18,58932
862,654,2020-01-17,60076
851,957,2019-08-29,94594
893,278,2019-03-14,98394
472,680,2020-06-20,97355
309,794,2019-09-17,31377
41,39,2019-09-11,54814
503,178,2019-12-13,71592
667,651,2019-05-18,35005
182,812,2019-11-12,37294
704,49,2019-10-02,80525
888,250,2019-12-05,67369
182,774,2020-06-10,32393
199,63,2020-11-02,16939
314,577,2020-06-26,33365
835,950,2019-07-15,67930
125,894,2020-09-18,73763
22,889,2020-11-19,38573
898,797,2020-04-13,61971
921,133,2020-04-13,60783
242,786,2019-04-05,54297
701,334,2019-11-08,11652
711,686,2020-03-24,42970
403,276,2020-04-21,17900
299,606,2019-02-28,88020
994,214,2019-06-23,26256
819,81,2021-01-23,60593
605,281,2020-03-08,98112
849,862,2020-11-15,71359
463,618,2019-03-07,45341
547,886,2020-06-26,10817
191,710,2020-12-19,57170
808,665,2019-09-06,88584
245,525,2019-11-02,35707
848,321,2019-06-04,64260
1,744,2019-11-12,58047
409,179,2019-05-06,61636
198,367,2020-06-08,8998
376,811,2020-04-28,8061
703,752,2020-01-08,91497
52,878,2020-10-24,7530
37,83,2020-09-28,9673
258,8,2019-04-11,27705
766,670,2019-09-01,95902
922,310,2020-05-06,47385
608,521,2019-05-09,95116
253,59,2020-03-28,51800
554,961,2019-04-17,99037
860,101,2020-12-17,43624
715,717,2020-05-18,97794
221,422,2019-05-28,85323
701,862,2020-02-29,59073
766,727,2019-03-16,17004
10,387,2020-03-28,41079
757,656,2020-12-01,4933
701,285,2020-10-17,44192
809,134,2019-08-10,67983
394,528,2019-11-14,92601
813,994,2019-05-04,83315
356,352,2020-04-26,32912
602,311,2020-11-28,64514
488,549,2020-08-20,30328
472,292,2019-08-05,46980
736,268,2019-07-05,91264
92,578,2020-08-09,14193
870,7,2020-07-17,18784
430,872,2019-08-15,97092
347,69,2019-12-24,62052
897,433,2019-07-24,94222
53,434,2020-06-04,69493
731,2,2020-08-13,66838
775,257,2020-09-18,31395
157,180,2020-01-24,16649
127,474,2019-11-15,49661
393,520,2019-06-20,57057
731,750,2019-09-15,34951
863,806,2020-08-30,99219
193,676,2021-01-12,15817
258,372,2019-11-15,84025
903,551,2020-04-18,60253
489,43,2020-12-10,10250
342,328,2019-07-23,14025
431,126,2019-08-04,59796
884,862,2020-02-14,21250
441,428,2020-11-22,70636
31,870,2019-10-19,50907
791,581,2019-05-28,12123
69,968,2019-09-21,92671
555,389,2020-04-28,57946
677,302,2020-07-18,19732
342,91,2020-10-12,3218
713,772,2020-10-07,46
288,809,2019-02-18,57676
503,291,2019-04-23,49242
813,496,2020-07-14,12017
447,39,2020-11-15,52637
376,461,2019-10-30,40125
363,274,2019-10-15,21727
634,978,2020-12-26,55446
631,914,2020-08-19,91
709,763,2020-10-17,77791
517,867,2019-10-27,36896
296,134,2019-03-17,22697
370,885,2019-04-24,18636
166,241,2020-06-07,28284
832,570,2019-02-28,69484
275,661,2019-10-03,91651
32,187,2020-11-02,73807
703,909,2019-05-18,45884
790,418,2019-06-27,54406
873,675,2020-08-23,38049
36,907,2019-09-19,99569
419,463,2019-07-24,89910
201,171,2020-03-22,40969
277,406,2020-04-23,30744
25,311,2019-11-14,55462
382,125,2020-12-20,29268
62,219,2020-02-01,73827
995,575,2019-04-28,11518
165,363,2020-01-06,58277
30,28,2020-03-14,40459
975,601,2020-04-06,5662
227,974,2020-11-24,40511
90,215,2020-01-01,33224
340,79,2019-05-24,81011
743,643,2019-04-21,29372
736,696,2020-05-24,51210
412,73,2020-02-12,66941
342,56,2019-10-27,27690
862,3,2019-07-03,73349
692,819,2019-10-06,50448
584,545,2019-08-24,56261
515,638,2020-06-20,58372
93,90,2020-01-23,50743
309,70,2020-07-25,3655
788,340,2020-08-13,86986
445,192,2019-09-28,50802
824,52,2019-03-14,95761
707,296,2019-03-07,78108
642,61,2020-11-27,8500
511,600,2019-02-24,31179
119,526,2020-06-27,60677
860,466,2020-12-05,53339
255,897,2019-09-15,28142
371,52,2019-04-18,26320
79,185,2020-12-25,41549
731,489,2020-07-15,25211
182,154,2019-10-19,46228
901,893,2019-10-22,62714
571,6,2020-04-18,783
711,215,2020-07-09,21425
769,253,2019-09-29,89909
896,948,2019-03-27,40134
461,319,2020-10-18,30411
675,965,2020-08-21,23915
359,845,2019-08-30,3519
339,611,2020-12-08,98633
424,621,2021-01-07,61343
278,145,2020-08-08,24107
544,812,2020-03-25,84644
996,610,2019-06-06,30289
842,222,2019-09-07,10894
562,409,2020-05-26,5610
376,569,2019-04-02,70156
348,386,2020-10-20,79172
883,781,2019-12-16,10968
176,315,2020-01-09,99866
22,826,2019-09-24,28379
238,362,2020-05-15,58310
409,137,2019-08-12,98927
705,826,2019-09-02,40405
927,130,2019-10-18,28044
609,351,2021-01-25,80314
116,872,2020-11-07,66886
831,180,2020-04-06,53848
951,577,2020-03-04,65071
278,228,2021-01-08,84592
291,536,2020-02-01,33403
443,186,2020-08-21,62340
894,813,2019-05-24,76317
87,237,2020-01-13,26940
415,168,2019-12-05,6355
